,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
24,4,1000,2,0.1,0.2,4,1.2514104397762975,0.6739223722779076,0.36334778463753764,0.979500644047913,0.42862945979343875,0.4286294597934387
25,5,1000,2,0.1,0.2,4,1.2382451844939122,0.5028719413089972,0.3974517842549409,0.9571922972164653,0.4367114340736113,0.43945749249680244
26,6,1000,2,0.1,0.2,4,1.2448515850327968,0.9811693365110503,0.37980431108418833,0.956938611419992,0.4153536424837258,0.42859815147883684
27,7,1000,2,0.1,0.2,4,1.2474527191596383,0.6019103087512805,0.37254022909023615,0.980245619298266,0.4153536424837258,0.43695426697940776
28,8,1000,2,0.1,0.2,4,1.2402029562443029,0.5532572778639258,0.3798427386634425,-0.00023081117047264892,0.4504543697087257,0.44511463849380223
29,9,1000,2,0.1,0.2,4,1.2514828365853925,0.5516660512772769,0.37254022909023615,0.980245619298266,0.4233512680631119,0.4233512680631119
30,0,1000,2,0.15,0.2,4,1.249696970548751,0.8767178033486016,0.3902001341988634,0.0017670772103665603,0.44769033454898305,0.43942478329660783
31,1,1000,2,0.15,0.2,4,1.2543836611275345,0.6585325818711822,0.3510703603418879,-0.0009785008526257796,0.3980597686419301,0.4158737221996652
32,2,1000,2,0.15,0.2,4,1.2511085424521544,0.47772968611044536,0.37015218719712983,-0.001268146220545197,0.43832177340482703,0.45141492553415147
33,3,1000,2,0.15,0.2,4,1.249378623018796,0.9126498038812535,0.3855719342438648,0.00456912310253184,0.4287861036841957,0.4340824417110887
34,4,1000,2,0.15,0.2,4,1.2508611468296453,0.8879862609735325,0.35812411323898075,-0.0009366126266441279,0.3974517842549409,0.4181493744562734
35,5,1000,2,0.15,0.2,4,1.241583930450611,0.8105351830308478,0.3822856747739879,0.0004177313057923115,0.43401842313556116,0.4340184231355612
36,6,1000,2,0.15,0.2,4,1.2451068702227281,0.9083901585618882,0.3629893009096824,-5.508157038175295e-05,0.3972864187762047,0.41547235181916264
37,7,1000,2,0.15,0.2,4,1.2494913005601962,0.5778448212106998,0.36765867382640616,-0.0009785008526257796,0.41281573012701095,0.4344671529418257
38,8,1000,2,0.15,0.2,4,1.2415641937037418,0.864448659102813,0.36284616440108325,0.005225946753601366,0.42328997355389686,0.4312821111119288
39,9,1000,2,0.15,0.2,4,1.2544453273829637,0.9063926496273429,0.37249053911138613,-0.0012588224523557348,0.39984122510493536,0.41799935441351505
40,0,1000,2,0.2,0.2,4,1.2545075286990126,0.747553731907266,0.40005015931306626,0.0011315015499490633,0.4233512680631119,0.4312821111119288
41,1,1000,2,0.2,0.2,4,1.257196662547406,0.6875883627367818,0.323990298652379,-0.0010568904067390999,0.36351539222787804,0.39231311088961984
42,2,1000,2,0.2,0.2,4,1.2562532987734858,0.5914516522948433,0.35339765842390936,-0.0010639967305411243,0.42566892280613294,0.4264772068274903
43,3,1000,2,0.2,0.2,4,1.253532815230664,0.8181457363821131,0.38083263549361085,0.013269426064604411,0.4058633591618544,0.4368408939198056
44,4,1000,2,0.2,0.2,4,1.2515606142213247,0.8160046382620221,0.3468192084807516,-0.0010609539526112192,0.3727142821902497,0.3849420845391557
45,5,1000,2,0.2,0.2,4,1.2469215115584176,0.6852912494948445,0.3607605332905618,-0.0012691695239889964,0.4050076400657321,0.41334529149624316
46,6,1000,2,0.2,0.2,4,1.24787358325772,0.5977050403252206,0.36051240056315964,0.012716699482537413,0.3823374510586107,0.4050787548944624
47,7,1000,2,0.2,0.2,4,1.254865902431156,0.5120377533433299,0.36284616440108325,0.004009666165844904,0.4050076400657321,0.4207409332988927
48,8,1000,2,0.2,0.2,4,1.246821932816129,0.7219595608784469,0.351104369502994,-0.0012023412132044103,0.3824151509623868,0.3824151509623868
49,9,1000,2,0.2,0.2,4,1.2589227137850048,0.6562445186518484,0.36046518717012205,0.00250653160582755,0.37494477273419685,0.38730273509671675
50,0,1000,2,0.25,0.2,4,1.2612116833881006,0.6561053049735546,0.36765867382640616,0.004150227921565669,0.3897321571314679,0.4058633591618544
51,1,1000,2,0.25,0.2,4,1.2625662351490206,0.5903646109219562,0.3154207696174569,-0.0001529880765015858,0.3407292788718758,0.35802648008878357
52,2,1000,2,0.25,0.2,4,1.2609865450213853,0.5236736215760291,0.3511610700215794,0.00027546312922280015,0.3932065935960917,0.4131685536677319
53,3,1000,2,0.25,0.2,4,1.2585881857010552,0.41210360975979987,0.3813496165731513,0.03206452193194737,0.3958583849446423,0.42084714101866216
54,4,1000,2,0.25,0.2,4,1.254247255904605,0.41849752799117795,0.33341539358571776,-0.0010639967305411243,0.3544319229477929,0.3726147969399959
55,5,1000,2,0.25,0.2,4,1.2559715812174586,0.5870464527561543,0.35404029311050045,-0.0005636325676838074,0.37064509840720133,0.3925021696215031
56,6,1000,2,0.25,0.2,4,1.2529340042638126,0.48198523925650305,0.34642982913499126,0.01179400081011328,0.3676343376993264,0.3799068078206994
57,7,1000,2,0.25,0.2,4,1.260561979535611,0.4824044672377733,0.3510703603418879,0.01954970536752449,0.3797915042088826,0.4079652429219408
58,8,1000,2,0.25,0.2,4,1.2525779275270719,0.4505653484759664,0.332786016192603,0.025182537614753246,0.3563088867347359,0.3560304704649584
59,9,1000,2,0.25,0.2,4,1.2633752017725688,0.3238114281951438,0.32386955169340753,0.01881341563167756,0.3329116581641214,0.3488038305942357
60,0,1000,2,0.3,0.2,4,1.2666197607720826,0.43915364097777476,0.35146765504717126,0.016268957042414905,0.3703491443141396,0.35915617883177225
61,1,1000,2,0.3,0.2,4,1.2675858938356095,0.42649417267303497,0.3067030922534956,0.022024568805957326,0.3202321597942731,0.0
62,2,1000,2,0.3,0.2,4,1.2665818818164813,0.47219820724274997,0.355926208044304,0.020643277939710162,0.37316283773653885,0.3804204080950731
63,3,1000,2,0.3,0.2,4,1.2629566459379735,0.38078028821586407,0.35404029311050045,0.027875779463244134,0.36142438660861814,0.38730273509671675
64,4,1000,2,0.3,0.2,4,1.2573232649173334,0.45550910364222735,0.32929636804584583,0.0055119567830922275,0.33401602105889133,0.34096872502390463
65,5,1000,2,0.3,0.2,4,1.2641708506914275,0.36490879576975116,0.3425183483545521,0.01176582574158026,0.3516155127792245,0.0
66,6,1000,2,0.3,0.2,4,1.2583610600361732,0.4154607315848375,0.34641872017317143,0.01173702163372847,0.35812411323898075,0.35346636983526136
67,7,1000,2,0.3,0.2,4,1.2655541277281797,0.4443888486996971,0.3511610700215794,0.014742689531781067,0.35134266800111585,0.3750954553851499
68,8,1000,2,0.3,0.2,4,1.258224802029793,0.31378281801908686,0.31726892848013,0.018671938184668387,0.33752874966340424,0.33401602105889133
69,9,1000,2,0.3,0.2,4,1.267189672483524,0.2849783711715205,0.3172494053185677,0.005691663503260498,0.31726892848013,0.3337944274290545
