,step,n_samples,n_centers,jitter,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
32,2,400,2,0.15,0.2,4,1.2338224650253538,0.8076133460303826,0.4017319929211617,0.7115546740052088,0.4484863670968633,0.4627758644568591
33,3,400,2,0.15,0.2,4,1.2387982133556499,0.49716146129059124,0.40820246914929015,0.6062126736373012,0.45643754927288727,0.4632274356135972
34,4,400,2,0.15,0.2,4,1.2574205526634727,0.6809378668118318,0.3710493439048296,0.6478487351330329,0.40252597255837497,0.41507326918387677
35,5,400,2,0.15,0.2,4,1.2422467047325574,0.7082318477268039,0.35874732400627246,0.16814987503679713,0.40208432885173495,0.395549912970273
36,6,400,2,0.15,0.2,4,1.248553365702594,0.5962213591766887,0.3243416351798994,0.7140100193779838,0.4002608450499057,0.3903959122007105
37,7,400,2,0.15,0.2,4,1.2591293396775953,0.5441490991798262,0.3898071720079385,0.7659979918657025,0.42151312735881663,0.4280695181413761
38,8,400,2,0.15,0.2,4,1.238095845680138,0.5841855863084446,0.4155390825026577,0.6072915970333984,0.4295467175422547,0.43677405122988017
39,9,400,2,0.15,0.2,4,1.2517258484023375,0.44211298724354814,0.39537839332567654,0.490465636615803,0.4347471145011946,0.4484863670968633
40,0,600,2,0.15,0.2,4,1.2653712791170888,0.46017983664268397,0.39783885256963497,0.7968842560948586,0.44193509847719425,0.4558889861885128
41,1,600,2,0.15,0.2,4,1.2535053920065813,0.5824874423873047,0.3492244732426185,0.8470548637518445,0.38534565612668353,0.4021040936696214
42,2,600,2,0.15,0.2,4,1.2380206697306209,0.8172555790559517,0.37810600140216644,0.00822916653010331,0.40654135233228594,0.4154275714440782
43,3,600,2,0.15,0.2,4,1.2569862601878068,0.4235096986858445,0.37037753366629456,0.006913335133791176,0.4241449721192394,0.42963977893238176
