,step,n_samples,n_centers,n_features,k,eps,min_pts,bandwidth,ROCK,K_MEANS,DBSCAN,SPECTRAL,MEAN_SHIFT
71,1,300,5,7,5,0.2,14,3.0318718533113427,-1.1037125605632744e-15,0.9892673064902506,-1.1037125605632744e-15,1.0,0.47094545506137975
72,2,300,5,7,5,0.2,14,3.2192279271588187,0.5872905894898236,0.964065064719093,-1.1037125605632744e-15,0.9474601591722416,-1.1037125605632744e-15
73,3,300,5,7,5,0.2,14,3.090335878764675,0.5872905894898236,0.9561945401491307,-1.1037125605632744e-15,0.9687494348401414,-1.1037125605632744e-15
74,4,300,5,7,5,0.2,14,3.141107351943195,0.5872905894898236,1.0,0.08774618255849936,1.0,-1.1037125605632744e-15
75,5,300,5,7,5,0.2,14,3.0602525467295685,0.5872905894898236,0.9526366287164244,-1.1037125605632744e-15,0.9375085286018425,-1.1037125605632744e-15
76,6,300,5,7,5,0.2,14,3.3418006120475314,-1.1037125605632744e-15,1.0,-1.1037125605632744e-15,0.9892673064902504,-1.1037125605632744e-15
77,7,300,5,7,5,0.2,14,3.1848041485472516,-1.1037125605632744e-15,1.0,-1.1037125605632744e-15,1.0,-1.1037125605632744e-15
78,8,300,5,7,5,0.2,14,3.2287647651045432,0.5872905894898236,0.9814548707003046,-1.1037125605632744e-15,0.9892673064902506,-1.1037125605632744e-15
79,9,300,5,7,5,0.2,14,3.253219482544878,-1.1037125605632744e-15,1.0,-1.1037125605632744e-15,1.0,0.47094545506137975
80,0,800,3,16,3,0.2,32,3.472290523700168,0.7335065263692221,1.0,5.376232321266671e-16,1.0,0.9622306635706966
81,1,800,3,16,3,0.2,32,3.549605286765303,0.7335065263692221,1.0,5.376232321266671e-16,1.0,1.0
82,2,800,3,16,3,0.2,32,3.341817427313151,0.7335065263692221,1.0,5.376232321266671e-16,1.0,0.9867220377642894
83,3,800,3,16,3,0.2,32,3.7790363773863387,0.7246448304286167,1.0,5.376232321266671e-16,0.9924899863753236,0.9860241322289967
84,4,800,3,16,3,0.2,32,3.4274336330520407,0.7335065263692221,1.0,5.376232321266671e-16,1.0,0.99332204204242
85,5,800,3,16,3,0.2,32,3.3778097420501645,0.7335065263692221,1.0,5.376232321266671e-16,1.0,0.9799088949932941
86,6,800,3,16,3,0.2,32,3.7955034211741583,0.7328721161428017,1.0,5.376232321266671e-16,1.0,1.0
87,7,800,3,16,3,0.2,32,3.3983839029199086,0.7335065263692221,1.0,5.376232321266671e-16,1.0,0.9962565021923322
88,8,800,3,16,3,0.2,32,3.309542001942719,0.7335065263692221,1.0,5.376232321266671e-16,0.9924899863753235,0.9833511080349355
89,9,800,3,16,3,0.2,32,3.2159018844495053,0.7335065263692221,1.0,5.376232321266671e-16,1.0,1.0
90,0,900,2,13,2,0.2,26,3.519574063596302,1.0,1.0,0.0,1.0,1.0
91,1,900,2,13,2,0.2,26,3.183292382490384,1.0,1.0,0.0,1.0,1.0
92,2,900,2,13,2,0.2,26,3.5519085982339775,0.988594739752593,0.9885947397525928,0.0,0.988594739752593,0.9653219666275741
93,3,900,2,13,2,0.2,26,3.643015930888698,1.0,1.0,0.0,1.0,0.9645627028901281
94,4,900,2,13,2,0.2,26,3.416780630209416,1.0,1.0,0.0,1.0,0.962448679569423
95,5,900,2,13,2,0.2,26,3.9646179470313077,0.9558819578767553,0.9710713011273142,0.0,0.9488124827028809,0.19211939806516348
96,6,900,2,13,2,0.2,26,3.3867687091318324,1.0,1.0,0.0,1.0,0.958605333707554
97,7,900,2,13,2,0.2,26,3.0052875154073098,1.0,1.0,0.0,1.0,0.9687598989783316
98,8,900,2,13,2,0.2,26,2.8893859311011933,1.0,1.0,0.0,1.0,0.972116424843907
99,9,900,2,13,2,0.2,26,3.4949900085037133,1.0,1.0,0.0,1.0,1.0
100,0,1600,2,12,2,0.2,24,3.3357359015290213,1.0,0.9930677735354669,0.0,1.0,0.9930677735354672
101,1,1600,2,12,2,0.2,24,3.5969537414785338,0.9930677735354669,0.9873860921863616,0.0,1.0,0.9632357771945604
102,2,1600,2,12,2,0.2,24,2.837918438137682,1.0,1.0,0.0,1.0,0.9755448606448737
103,3,1600,2,12,2,0.2,24,3.20527695273773,1.0,1.0,0.0,1.0,1.0
104,4,1600,2,12,2,0.2,24,2.960351806782673,1.0,1.0,0.0,1.0,1.0
105,5,1600,2,12,2,0.2,24,3.289097353609481,1.0,0.9930677735354669,0.0,1.0,0.986837838584838
106,6,1600,2,12,2,0.2,24,3.1380331332590212,1.0,1.0,0.0,1.0,0.9660683525628688
107,7,1600,2,12,2,0.2,24,3.0836663851046358,1.0,1.0,0.0,1.0,0.9864841606412634
108,8,1600,2,12,2,0.2,24,3.3840870749843037,1.0,0.9930677735354672,0.0,1.0,0.9774810622868301
109,9,1600,2,12,2,0.2,24,2.5110175614804304,1.0,1.0,0.0,1.0,0.9801833703591425
110,0,1600,2,13,2,0.2,26,3.494864474854543,1.0,1.0,0.0,1.0,0.9761522779493335
111,1,1600,2,13,2,0.2,26,3.189060100344203,1.0,1.0,0.0,1.0,1.0
112,2,1600,2,13,2,0.2,26,3.551417999737404,0.9930677735354672,0.9873860921863616,0.0,1.0,0.9930677735354672
113,3,1600,2,13,2,0.2,26,3.6560875464708262,1.0,0.9930677735354672,0.0,0.9930677735354669,0.986837838584838
114,4,1600,2,13,2,0.2,26,3.3908448335928436,1.0,1.0,0.0,1.0,0.9864841606412634
115,5,1600,2,13,2,0.2,26,3.9597555315033803,0.9475366127233835,0.9437085195950585,0.0,0.9399555449866008,0.16400133216378837
116,6,1600,2,13,2,0.2,26,3.4029685231930125,1.0,1.0,0.0,1.0,0.9853772087230963
117,7,1600,2,13,2,0.2,26,3.026177339732801,1.0,1.0,0.0,1.0,1.0
118,8,1600,2,13,2,0.2,26,2.869442156855754,1.0,1.0,0.0,1.0,1.0
119,9,1600,2,13,2,0.2,26,3.487153447403068,1.0,1.0,0.0,1.0,0.9937298048744624
120,0,1600,2,12,2,0.2,24,3.3357359015290213,1.0,0.9930677735354672,0.0,1.0,0.9930677735354672
121,1,1600,2,12,2,0.2,24,3.5969537414785338,0.9930677735354669,0.9873860921863616,0.0,1.0,0.9632357771945604
122,2,1600,2,12,2,0.2,24,2.837918438137682,1.0,1.0,0.0,1.0,0.9755448606448737
123,3,1600,2,12,2,0.2,24,3.20527695273773,1.0,1.0,0.0,1.0,1.0
124,4,1600,2,12,2,0.2,24,2.960351806782673,1.0,1.0,0.0,1.0,1.0
125,5,1600,2,12,2,0.2,24,3.289097353609481,1.0,0.9930677735354669,0.0,1.0,0.986837838584838
126,6,1600,2,12,2,0.2,24,3.1380331332590212,1.0,1.0,0.0,1.0,0.9660683525628688
127,7,1600,2,12,2,0.2,24,3.0836663851046358,1.0,1.0,0.0,1.0,0.9864841606412634
128,8,1600,2,12,2,0.2,24,3.3840870749843037,1.0,0.9930677735354672,0.0,1.0,0.9774810622868301
129,9,1600,2,12,2,0.2,24,2.5110175614804304,1.0,1.0,0.0,1.0,0.9801833703591425
130,0,1600,4,14,4,0.2,28,4.487430342557637,0.0,1.0,0.0,1.0,0.0
131,1,1600,4,14,4,0.2,28,4.982855728485372,0.0,1.0,0.0,1.0,0.0
132,2,1600,4,14,4,0.2,28,5.127759550960028,0.0,1.0,0.0,1.0,0.0
133,3,1600,4,14,4,0.2,28,4.939988215588933,0.6663653622066948,1.0,0.0,1.0,0.0
134,4,1600,4,14,4,0.2,28,4.775129206057281,0.0,1.0,0.0,1.0,0.0
135,5,1600,4,14,4,0.2,28,4.943944611649631,0.6663653622066948,1.0,0.0,1.0,0.0
136,6,1600,4,14,4,0.2,28,5.0475798893898,0.0,1.0,0.0,1.0,0.0
137,7,1600,4,14,4,0.2,28,4.799578261324127,0.0,0.9898711465073482,0.0,0.9898711465073482,0.0
138,8,1600,4,14,4,0.2,28,5.068474716222566,0.5767514519241169,1.0,0.0,1.0,0.0
139,9,1600,4,14,4,0.2,28,5.02277981743731,0.6663653622066948,1.0,0.0,1.0,0.0
140,0,1400,2,10,2,0.2,20,2.9705526550158683,0.98585851532907,0.9800418464155551,0.0,0.9858585153290702,0.9800418464155551
141,1,1400,2,10,2,0.2,20,3.152065357932258,0.9858585153290702,0.9800418464155551,0.0,0.9922146173742475,0.9533134749587895
142,2,1400,2,10,2,0.2,20,2.818962255102799,1.0,1.0,0.0,1.0,0.9564611218454
143,3,1400,2,10,2,0.2,20,3.041103919428211,0.9922146173742475,0.98585851532907,0.0,0.9922146173742475,0.9709865877744923
144,4,1400,2,10,2,0.2,20,2.6090699649894322,1.0,0.9922146173742475,0.0,0.9922146173742475,0.9748512539559033
145,5,1400,2,10,2,0.2,20,2.761572861898039,1.0,0.9922146173742475,0.0,0.9922146173742475,0.9922146173742475
146,6,1400,2,10,2,0.2,20,2.5601459063098346,1.0,1.0,0.0,1.0,0.9716350564179649
147,7,1400,2,10,2,0.2,20,2.5479667663951098,1.0,1.0,0.0,1.0,1.0
148,8,1400,2,10,2,0.2,20,2.8943271924623257,1.0,1.0,0.0,1.0,0.9538024475494193
149,9,1400,2,10,2,0.2,20,2.5105104022475357,1.0,1.0,0.0,1.0,0.9901163035601307
150,0,1300,4,10,4,0.2,20,3.9024697089552025,0.0,0.9750706719223567,0.0,0.9770362970164721,0.0
151,1,1300,4,10,4,0.2,20,4.145112100394992,0.0,1.0,0.0,1.0,0.0
152,2,1300,4,10,4,0.2,20,3.841377121774963,0.5766568796343767,0.9842194705475081,0.0,0.9795691437034858,0.5766568796343767
153,3,1300,4,10,4,0.2,20,3.903367052564221,0.5766568796343767,1.0,0.0,1.0,0.5766568796343767
154,4,1300,4,10,4,0.2,20,4.148290774930551,0.5766568796343767,0.996226317141702,0.0,0.996226317141702,0.0
155,5,1300,4,10,4,0.2,20,4.197469152076063,0.6662956185530297,1.0,0.0,1.0,0.0
156,6,1300,4,10,4,0.2,20,4.132758877318693,0.0,1.0,0.0,1.0,0.0
157,7,1300,4,10,4,0.2,20,3.9980462032983333,0.0,0.996226317141702,0.0,0.9962263171417022,0.0
158,8,1300,4,10,4,0.2,20,4.1781298349376765,0.0,1.0,0.0,1.0,0.0
159,9,1300,4,10,4,0.2,20,3.784561087867858,0.0,0.996226317141702,0.0,0.985607859289944,0.5766568796343767
160,0,1100,4,10,4,0.2,20,3.8941575596017017,0.0,0.9862390978917565,0.0,0.9922078166747053,0.0
161,1,1100,4,10,4,0.2,20,4.143935107090889,0.0,1.0,0.0,1.0,0.0
162,2,1100,4,10,4,0.2,20,3.834356492330406,0.5765650370871993,0.9835326029282581,0.0,0.9809584880790753,0.5765650370871993
163,3,1100,4,10,4,0.2,20,3.9031514568450705,0.5765650370871993,1.0,0.0,1.0,0.5765650370871993
164,4,1100,4,10,4,0.2,20,4.122554317147425,0.0,1.0,0.0,1.0,0.0
165,5,1100,4,10,4,0.2,20,4.202400945687399,0.0,1.0,0.0,1.0,0.0
166,6,1100,4,10,4,0.2,20,4.147482069165981,0.0,1.0,0.0,1.0,0.0
167,7,1100,4,10,4,0.2,20,4.003364533887191,0.0,1.0,0.0,1.0,0.0
168,8,1100,4,10,4,0.2,20,4.184084062025255,0.0,1.0,0.0,1.0,0.0
169,9,1100,4,10,4,0.2,20,3.7774167771035323,0.0,0.9956480214892611,0.0,0.9922078166747053,0.5765650370871993
170,0,1400,2,15,2,0.2,30,3.144733987923306,1.0,1.0,0.0,1.0,0.9805881492827346
171,1,1400,2,15,2,0.2,30,3.2603616870279466,1.0,1.0,0.0,1.0,0.9801805877893486
172,2,1400,2,15,2,0.2,30,3.9917542447372716,0.9922146173742475,1.0,0.0,1.0,0.9381674079622243
173,3,1400,2,15,2,0.2,30,3.552983673438212,1.0,1.0,0.0,1.0,0.9740762621619012
174,4,1400,2,15,2,0.2,30,2.955195250681345,1.0,1.0,0.0,1.0,0.928426167667843
175,5,1400,2,15,2,0.2,30,3.878871368914741,1.0,1.0,0.0,1.0,0.9825005887358815
176,6,1400,2,15,2,0.2,30,3.2548180110941902,1.0,1.0,0.0,1.0,0.9863051564723831
177,7,1400,2,15,2,0.2,30,3.3295688702349278,1.0,1.0,0.0,1.0,0.9714917783784619
178,8,1400,2,15,2,0.2,30,3.728581813610788,1.0,1.0,0.0,1.0,0.9740762621619012
179,9,1400,2,15,2,0.2,30,2.977530174532155,1.0,1.0,0.0,1.0,0.9811427837495392
180,0,1500,10,18,10,0.2,36,5.506916563467137,0.4181370551977693,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
181,1,1500,10,18,10,0.2,36,5.575733841439581,1.0,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
182,2,1500,10,18,10,0.2,36,5.615764565738391,-7.71461973241227e-16,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
183,3,1500,10,18,10,0.2,36,5.655360907883304,0.437522848268732,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
184,4,1500,10,18,10,0.2,36,5.628083905037364,1.0,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
185,5,1500,10,18,10,0.2,36,5.636936517925004,0.4181370551977693,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
186,6,1500,10,18,10,0.2,36,5.549990895592232,0.46167425521710564,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
187,7,1500,10,18,10,0.2,36,5.533940298079132,-7.71461973241227e-16,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
188,8,1500,10,18,10,0.2,36,5.585069929649132,0.4132704156267882,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
189,9,1500,10,18,10,0.2,36,5.641032677698653,1.0,1.0,-7.71461973241227e-16,1.0,-7.71461973241227e-16
190,0,1200,5,9,5,0.2,18,3.8954724930892235,-1.1037125605622707e-15,0.9966304300222444,-1.1037125605622707e-15,0.9966304300222444,-1.1037125605622707e-15
191,1,1200,5,9,5,0.2,18,3.712813790529646,0.5891258812816202,1.0,-1.1037125605622707e-15,1.0,-1.1037125605622707e-15
192,2,1200,5,9,5,0.2,18,3.372302156786773,0.5891258812816202,1.0,-1.1037125605622707e-15,0.9916049051143042,0.4735155061134823
193,3,1200,5,9,5,0.2,18,3.871403471719829,-1.1037125605622707e-15,0.9906142139281873,-1.1037125605622707e-15,0.9879675554360733,-1.1037125605622707e-15
194,4,1200,5,9,5,0.2,18,3.6769488480276453,0.5891258812816202,0.9838793200304357,-1.1037125605622707e-15,0.9906120543075189,-1.1037125605622707e-15
195,5,1200,5,9,5,0.2,18,3.7263405656860784,0.5891258812816202,0.9966304300222445,-1.1037125605622707e-15,0.9939816454077324,-1.1037125605622707e-15
196,6,1200,5,9,5,0.2,18,3.9449289149990303,0.5891258812816202,0.9906142456695467,-1.1037125605622707e-15,0.9906142456695469,-1.1037125605622707e-15
197,7,1200,5,9,5,0.2,18,3.7770063965528076,0.5891258812816202,0.9590199194163095,-1.1037125605622707e-15,0.8403922158568717,-1.1037125605622707e-15
198,8,1200,5,9,5,0.2,18,3.917188589220491,1.0,1.0,-1.1037125605622707e-15,1.0,-1.1037125605622707e-15
199,9,1200,5,9,5,0.2,18,3.8372346639855572,0.5891258812816202,0.9939816454077324,-1.1037125605622707e-15,0.9916049051143043,-1.1037125605622707e-15
200,0,1400,3,16,3,0.2,32,3.4987064182227705,0.7335812981447939,0.9953482939356191,-1.078710241876221e-15,1.0,0.979917699658176
201,1,1400,3,16,3,0.2,32,3.5380640006137414,0.7335812981447939,1.0,-1.078710241876221e-15,1.0,1.0
202,2,1400,3,16,3,0.2,32,3.3599143959789872,0.7335812981447939,1.0,-1.078710241876221e-15,1.0,1.0
203,3,1400,3,16,3,0.2,32,3.786315382173985,0.7335812981447939,0.9953482939356191,-1.078710241876221e-15,0.9953482939356191,0.9953482939356191
204,4,1400,3,16,3,0.2,32,3.4119441391275425,0.7335812981447939,1.0,-1.078710241876221e-15,1.0,1.0
205,5,1400,3,16,3,0.2,32,3.410104132496624,0.733219287681954,1.0,-1.078710241876221e-15,1.0,0.9925582334710651
206,6,1400,3,16,3,0.2,32,3.7815712081587196,0.733219287681954,1.0,-1.078710241876221e-15,1.0,0.9883233674042466
207,7,1400,3,16,3,0.2,32,3.3985764611741875,0.7335812981447939,0.9953482939356191,-1.078710241876221e-15,1.0,0.986156057194264
208,8,1400,3,16,3,0.2,32,3.305670972193497,0.7335812981447939,1.0,-1.078710241876221e-15,1.0,1.0
209,9,1400,3,16,3,0.2,32,3.2105145948384193,0.7335812981447939,1.0,-1.078710241876221e-15,1.0,1.0
210,0,1600,2,12,2,0.2,24,3.3357359015290213,1.0,0.9930677735354672,0.0,1.0,0.9930677735354672
211,1,1600,2,12,2,0.2,24,3.5969537414785338,0.9930677735354669,0.9873860921863616,0.0,1.0,0.9632357771945604
212,2,1600,2,12,2,0.2,24,2.837918438137682,1.0,1.0,0.0,1.0,0.9755448606448737
213,3,1600,2,12,2,0.2,24,3.20527695273773,1.0,1.0,0.0,1.0,1.0
214,4,1600,2,12,2,0.2,24,2.960351806782673,1.0,1.0,0.0,1.0,1.0
215,5,1600,2,12,2,0.2,24,3.289097353609481,1.0,0.9930677735354669,0.0,1.0,0.986837838584838
216,6,1600,2,12,2,0.2,24,3.1380331332590212,1.0,1.0,0.0,1.0,0.9660683525628688
217,7,1600,2,12,2,0.2,24,3.0836663851046358,1.0,1.0,0.0,1.0,0.9864841606412634
218,8,1600,2,12,2,0.2,24,3.3840870749843037,1.0,0.9930677735354672,0.0,1.0,0.9774810622868301
219,9,1600,2,12,2,0.2,24,2.5110175614804304,1.0,1.0,0.0,1.0,0.9801833703591425
220,0,1600,2,11,2,0.2,22,3.2453041832310197,1.0,1.0,0.0,1.0,0.9911643385878927
221,1,1600,2,11,2,0.2,22,2.632848400139017,1.0,1.0,0.0,1.0,0.9877632546722128
222,2,1600,2,11,2,0.2,22,3.229297222371737,0.9930677735354672,0.9873860921863618,0.0,0.9873860921863618,0.9740396340259383
