,AMI,tmax
0,0.15198909151117018,1
1,0.15340383828831025,1
2,0.15830993445943214,1
3,0.15410382225448552,1
4,0.15712731936250685,1
5,0.15572718289054044,1
6,0.15498278795529793,1
7,0.16131894116650367,1
8,0.1588321455053156,1
9,0.15318332274054847,1
10,0.33272776310041563,2
11,0.3015785539990498,2
12,0.30680035569944186,2
13,0.3137739627946713,2
14,0.3305139928688102,2
15,0.3163544743538658,2
16,0.3201220333848114,2
17,0.3309769058193431,2
18,0.32397918023901484,2
19,0.32116158192546274,2
20,0.4398644868942567,3
21,0.4126397163860297,3
22,0.4825891736429465,3
23,0.4441192051164006,3
24,0.41556736872270206,3
25,0.40567575813579937,3
26,0.4384523986406532,3
27,0.3667138224347798,3
28,0.364258527011787,3
29,0.42319555679793697,3
30,0.471793636818795,4
31,0.5025234611696775,4
32,0.4930970855856928,4
33,0.5406904163355521,4
34,0.455232813704406,4
35,0.5221673273872027,4
36,0.47886409498757004,4
37,0.4680767486154191,4
38,0.43851789234089816,4
39,0.5406195654543635,4
40,0.5041279881814521,5
41,0.3655213882326366,5
42,0.47419210358310665,5
43,0.41882130272513723,5
44,0.37545472227518517,5
45,0.5450717893587642,5
46,0.39612092975434177,5
47,0.4374202974101003,5
48,0.43591445488436104,5
49,0.45397687427597166,5
50,0.41048068236138974,6
51,0.36338927641925267,6
52,0.3805167067987271,6
53,0.5618942540399068,6
54,0.38490356420145405,6
55,0.5951895880968104,6
56,0.3601895877132963,6
57,0.414965445407991,6
58,0.5077052469634773,6
59,0.4357221501313997,6
60,0.7572656728426218,7
61,0.3973029463772887,7
62,0.36902155586414137,7
63,0.3604456967508515,7
64,0.39801789825535416,7
65,0.7010904393589394,7
66,0.3712610923664833,7
67,0.5303437406760617,7
68,0.6823436590540553,7
69,0.3731087936315206,7
70,0.7894044112378862,8
71,0.635835617284101,8
72,0.35725143514472396,8
73,0.7918366326961349,8
74,0.38085821872557635,8
75,0.7315902303498726,8
76,0.4338764685741067,8
