,step,n_samples,jitter,eps,min_pts,DBSCAN
39,9,1000,0.15,0.9,45,0.0
40,0,1000,0.15,0.4,97,0.0
41,1,1000,0.15,0.4,97,0.0
42,2,1000,0.15,0.4,97,0.0
43,3,1000,0.15,0.4,97,0.0
44,4,1000,0.15,0.4,97,0.0
45,5,1000,0.15,0.4,97,0.0
46,6,1000,0.15,0.4,97,0.0
47,7,1000,0.15,0.4,97,0.0
48,8,1000,0.15,0.4,97,0.0
49,9,1000,0.15,0.4,97,0.0
50,0,1000,0.15,0.6000000000000001,80,-0.0008737255753407442
51,1,1000,0.15,0.6000000000000001,80,-0.0013010005705662543
52,2,1000,0.15,0.6000000000000001,80,-0.0013362011926862476
53,3,1000,0.15,0.6000000000000001,80,-0.0013010005705662543
54,4,1000,0.15,0.6000000000000001,80,-0.00132521548872384
55,5,1000,0.15,0.6000000000000001,80,0.002552674193844728
56,6,1000,0.15,0.6000000000000001,80,0.006391205806830649
57,7,1000,0.15,0.6000000000000001,80,0.0013909131209055656
58,8,1000,0.15,0.6000000000000001,80,0.00347445807371768
59,9,1000,0.15,0.6000000000000001,80,0.0017672193549157166
60,0,1000,0.15,1.0,58,0.0
61,1,1000,0.15,1.0,58,0.0
62,2,1000,0.15,1.0,58,0.0
63,3,1000,0.15,1.0,58,0.0
64,4,1000,0.15,1.0,58,0.0
65,5,1000,0.15,1.0,58,0.0
66,6,1000,0.15,1.0,58,0.0
67,7,1000,0.15,1.0,58,0.0
68,8,1000,0.15,1.0,58,0.0
69,9,1000,0.15,1.0,58,0.0
70,0,1000,0.15,0.1,9,0.18629159390933542
71,1,1000,0.15,0.1,9,0.16786943238675084
72,2,1000,0.15,0.1,9,0.1797567689516427
73,3,1000,0.15,0.1,9,0.1837228579103154
74,4,1000,0.15,0.1,9,0.19074850573235655
75,5,1000,0.15,0.1,9,0.16222602435542932
76,6,1000,0.15,0.1,9,0.17113725569156948
77,7,1000,0.15,0.1,9,0.17065824095383605
78,8,1000,0.15,0.1,9,0.17063014250099015
79,9,1000,0.15,0.1,9,0.16471297236264695
80,0,1000,0.15,0.9,4,0.0
81,1,1000,0.15,0.9,4,0.0
82,2,1000,0.15,0.9,4,0.0
83,3,1000,0.15,0.9,4,0.0
84,4,1000,0.15,0.9,4,0.0
85,5,1000,0.15,0.9,4,0.0
86,6,1000,0.15,0.9,4,0.0
87,7,1000,0.15,0.9,4,0.0
88,8,1000,0.15,0.9,4,0.0
89,9,1000,0.15,0.9,4,0.0
90,0,1000,0.15,0.9,79,0.0
91,1,1000,0.15,0.9,79,0.0
92,2,1000,0.15,0.9,79,0.0
93,3,1000,0.15,0.9,79,0.0
94,4,1000,0.15,0.9,79,0.0
95,5,1000,0.15,0.9,79,0.0
96,6,1000,0.15,0.9,79,0.0
97,7,1000,0.15,0.9,79,0.0
98,8,1000,0.15,0.9,79,0.0
99,9,1000,0.15,0.9,79,0.0
100,0,1000,0.15,0.1,3,0.3604179606879626
101,1,1000,0.15,0.1,3,0.35077893112003256
102,2,1000,0.15,0.1,3,0.3935352530893174
103,3,1000,0.15,0.1,3,0.36932131152600595
104,4,1000,0.15,0.1,3,0.4010468089334215
105,5,1000,0.15,0.1,3,0.3340770367391176
106,6,1000,0.15,0.1,3,0.371756185502632
107,7,1000,0.15,0.1,3,0.37792841898618873
108,8,1000,0.15,0.1,3,0.3750914494980338
109,9,1000,0.15,0.1,3,0.3997775001433712
110,0,1000,0.15,0.1,7,0.2360628574983441
111,1,1000,0.15,0.1,7,0.21443528650004945
112,2,1000,0.15,0.1,7,0.22763379410839768
113,3,1000,0.15,0.1,7,0.2287705899749023
114,4,1000,0.15,0.1,7,0.2444963014696205
115,5,1000,0.15,0.1,7,0.2063769218831367
116,6,1000,0.15,0.1,7,0.2438537303973838
117,7,1000,0.15,0.1,7,0.22635348260708477
118,8,1000,0.15,0.1,7,0.2246339323260803
119,9,1000,0.15,0.1,7,0.2134843768572966
120,0,1000,0.15,0.1,22,0.0
121,1,1000,0.15,0.1,22,0.0
122,2,1000,0.15,0.1,22,0.0
123,3,1000,0.15,0.1,22,0.0
124,4,1000,0.15,0.1,22,0.0
125,5,1000,0.15,0.1,22,0.0
126,6,1000,0.15,0.1,22,0.0
127,7,1000,0.15,0.1,22,0.0
128,8,1000,0.15,0.1,22,0.0
129,9,1000,0.15,0.1,22,0.0
130,0,1000,0.15,0.30000000000000004,23,0.822132116626851
131,1,1000,0.15,0.30000000000000004,23,0.8422422457352936
132,2,1000,0.15,0.30000000000000004,23,0.8627358242844702
133,3,1000,0.15,0.30000000000000004,23,0.837632186599971
134,4,1000,0.15,0.30000000000000004,23,0.8501653093202245
135,5,1000,0.15,0.30000000000000004,23,0.0010603452854108938
136,6,1000,0.15,0.30000000000000004,23,0.8702076821502851
137,7,1000,0.15,0.30000000000000004,23,0.8761110287340286
138,8,1000,0.15,0.30000000000000004,23,0.8277225530493423
139,9,1000,0.15,0.30000000000000004,23,0.8637341288128062
140,0,1000,0.15,0.30000000000000004,26,0.8103638035831674
141,1,1000,0.15,0.30000000000000004,26,0.8309994087628123
142,2,1000,0.15,0.30000000000000004,26,0.8538426663520672
143,3,1000,0.15,0.30000000000000004,26,0.8325495464090973
144,4,1000,0.15,0.30000000000000004,26,0.8252509018929455
145,5,1000,0.15,0.30000000000000004,26,0.7755890993254315
146,6,1000,0.15,0.30000000000000004,26,0.8526067027695073
147,7,1000,0.15,0.30000000000000004,26,0.8250855208944596
148,8,1000,0.15,0.30000000000000004,26,0.7745277423617425
149,9,1000,0.15,0.30000000000000004,26,0.8431282156896446
150,0,1000,0.15,0.30000000000000004,27,0.7963151023121307
151,1,1000,0.15,0.30000000000000004,27,0.8171669144488405
152,2,1000,0.15,0.30000000000000004,27,0.8443573924462655
153,3,1000,0.15,0.30000000000000004,27,0.8275838600617239
154,4,1000,0.15,0.30000000000000004,27,0.8259081530490466
155,5,1000,0.15,0.30000000000000004,27,0.7690401605446521
156,6,1000,0.15,0.30000000000000004,27,0.849997749730996
157,7,1000,0.15,0.30000000000000004,27,0.8294680260187047
158,8,1000,0.15,0.30000000000000004,27,0.7745277423617425
159,9,1000,0.15,0.30000000000000004,27,0.8292888942289085
160,0,1000,0.15,0.30000000000000004,31,0.7529905644899721
161,1,1000,0.15,0.30000000000000004,31,0.7521418164428163
162,2,1000,0.15,0.30000000000000004,31,0.7588883710997418
163,3,1000,0.15,0.30000000000000004,31,0.8050216851489305
164,4,1000,0.15,0.30000000000000004,31,0.8123306989847211
165,5,1000,0.15,0.30000000000000004,31,0.7396505910353163
166,6,1000,0.15,0.30000000000000004,31,0.8146798999345615
167,7,1000,0.15,0.30000000000000004,31,0.8027610736827315
168,8,1000,0.15,0.30000000000000004,31,0.7364842117319805
169,9,1000,0.15,0.30000000000000004,31,0.8000492602592316
170,0,1000,0.15,0.4,31,-0.0013010005705662543
171,1,1000,0.15,0.4,31,-0.00132521548872384
172,2,1000,0.15,0.4,31,-0.0013010005705662543
173,3,1000,0.15,0.4,31,0.0010717661423700938
174,4,1000,0.15,0.4,31,-0.00132521548872384
175,5,1000,0.15,0.4,31,-0.00132521548872384
176,6,1000,0.15,0.4,31,-0.0006043380522997003
